Sector,Subsector,Category
Materials,Mining,Project Generator
Materials,Precious Metals,Gold
Materials,Precious Metals,Palladium
Materials,Precious Metals,Platinum
Materials,Precious Metals,Silver
Materials,Precious Metals Royalty,Large-Tier
Materials,Precious Metals Royalty,Mid-Tier
Materials,Precious Metals Royalty,Small-Tier
Real Estate,Cell Towers,
Real Estate,Data Centers,
Real Estate,Diversified,
Real Estate,Health Care,
Real Estate,Hotels,
Real Estate,Hotels,Casino
Real Estate,Industrial,
Real Estate,Mortgage,
Real Estate,Office,
Real Estate,Residential,
Real Estate,Retail,
Real Estate,Self-Storage,
Real Estate,Specialty,
Real Estate,Timberland,
Services,Airlines,
Services,Business Services,Consulting
Services,Business Services,Rental & Leasing
Services,Business Services,Specialty
Services,Business Services,Staffing
Services,Business Services,Technical
Services,Communications,Advertising
Services,Communications,Carriers
Services,Communications,Media & Broadcasting
Services,Communications,Social & Search
Services,Educational,
Services,Energy,
Services,Entertainment,Film & Studios
Services,Entertainment,Streaming
Services,Entertainment,Video Games
Services,Financial,Exchanges
Services,Financial,Information
Services,Financial,Payments
Services,Gaming & Casinos,
Services,Information Technology,Cloud Infrastructure
Services,Information Technology,Cybersecurity
Services,Information Technology,IT Services
Services,Leisure,Cruise Lines
Services,Leisure,Recreation & Fitness
Services,Real Estate,Development
Services,Real Estate,Management
Services,Real Estate,Residential Construction
Services,Retail,Apparel
Services,Retail,Automotive
Services,Retail,Discount
Services,Retail,Electronics
Services,Retail,Grocery
Services,Retail,Home Improvement
Services,Retail,Internet
Services,Retail,Luxury
Services,Retail,Pharmacy
Services,Retail,Restaurants
Services,Software,Business
Services,Software,Diversified
Services,Software,Entertainment
Services,Software,Travel
Services,Transportation,Delivery
Services,Transportation,Logistics
Services,Transportation,Railroads
Services,Transportation,Shipping
Services,Transportation,Trucking
Services,Wholesale,Food Products
Services,Wholesale,Health Care
Services,Wholesale,Industrial
Utilities,Diversified,
Utilities,Electric,
Utilities,Gas,
Utilities,Independent Power Producers,
Utilities,Renewable,
Utilities,Water,
